ObjID,ra,dec,u,g,r,i,z
1237666299433586015,299.99479987,-0.99372485,23.066679,24.116642,20.383322,19.524956,19.173925
1237666299433586016,299.99672833,-0.99341239,25.024738,22.79084,22.416128,20.773397,19.964115
1237666299433586022,299.99861201,-0.99173712,24.314945,26.369883,22.147352,20.888365,20.565798
1237666299433586023,299.99764949,-0.99303,24.886358,24.637285,22.130865,20.996187,20.225967
1237666299433586034,299.99352691,-0.99654355,25.769056,22.641718,21.432343,20.294155,19.831556
1237666299433582976,300.0112284,-0.99595749,14.598221,11.699071,11.08851,10.855162,12.978354
1237666299433582983,300.00867788,-0.99646422,29.088377,16.296629,15.844831,14.991776,26.601377
1237666299433582986,300.011331,-1.00343016,25.139523,21.651878,19.974926,19.195511,18.80876
1237666299433582987,300.00721079,-0.98836133,22.223772,20.283762,19.664986,19.25844,19.264507
1237666299433582989,300.00812783,-1.00446604,24.054173,20.999859,20.158632,19.687536,19.512934
1237666299433582991,300.008109,-0.99314262,27.221676,27.869471,26.958912,22.749157,20.442724
1237666299433582992,300.01218038,-0.99991722,25.628822,21.650566,21.152779,20.330957,20.931074
1237666299433583004,300.01272452,-1.00252157,23.892967,22.833126,24.713346,23.399954,22.602001
1237666299433583979,299.99597409,-0.9874432,21.897013,19.022665,17.459557,16.075741,15.387568
1237666299433583984,299.99819517,-0.98821317,22.938723,21.174971,19.662474,18.857212,18.368366
1237666299433583988,299.99538159,-0.98882625,23.260805,21.907862,21.274422,20.730541,20.624647
1237666299433584062,300.00154847,-0.98644352,25.822514,23.502232,22.152805,20.808945,20.066483
1237666299433584090,300.0074343,-1.00800911,20.303133,18.353792,17.507801,17.100893,16.972542
1237666299433584091,300.00511932,-1.00917484,20.053932,18.58857,17.897097,17.555767,17.469715
1237666299433584092,300.00770071,-1.0093083,25.400473,22.069574,20.920469,20.168921,19.79262
1237666299433584093,300.00588742,-1.01002151,26.09757,21.585598,20.752735,20.584614,20.13835
1237666299433585274,299.9865468,-0.99802707,25.821928,21.942715,20.875006,20.429998,19.961613
1237666299433585291,299.9905911,-0.99752546,20.878256,19.371027,18.740129,18.410555,18.289827
1237666299433585316,299.99403826,-1.00956017,22.443455,19.574034,18.399174,17.89719,17.704571
1237666299433585336,299.99985779,-1.01058241,21.465174,19.502834,18.73123,18.343456,18.207804
1237666299433585337,299.99939543,-1.00994542,24.35371,22.714941,21.072716,20.314426,20.151958
1237666299433585994,299.98859103,-1.00434127,25.682981,21.636215,20.385843,19.823776,19.552151
1237666299433585995,299.98748632,-1.00401995,24.662519,22.336262,20.930431,20.407896,20.353228
1237666299433586014,299.99292177,-0.99414908,21.893192,20.208473,19.496016,19.185295,19.025822
1237666299433586017,299.9932071,-0.98900829,22.432819,21.515417,20.694153,20.181259,20.092972
1237666299433586019,299.99192546,-0.9892821,25.266651,21.912828,21.240347,20.639658,20.469069
1237666299433586021,299.99257279,-0.99075827,25.997488,24.225874,21.348959,20.709946,20.637295
1237666299433586025,299.99190609,-0.99270108,23.070063,23.554585,22.168699,22.530504,21.30336
1237666299433586039,299.9965955,-1.00891951,23.421064,22.005249,21.097746,20.864588,20.524149
1237666299433586066,300.00331787,-1.01135195,22.329609,21.386951,20.516611,19.996519,19.884441
1237666299433586067,300.00416398,-1.0123752,25.849026,22.615786,21.649969,21.092735,21.173201
1237666299433587280,299.99080477,-1.00715312,26.653257,26.663219,23.865009,21.54496,20.509686
1237666299433582889,300.00213307,-1.01767046,22.392937,21.996059,21.009277,20.604845,20.790924
1237666299433582892,299.9982079,-1.01896693,23.572882,24.10404,25.593054,22.115141,22.473007
1237666299433582979,300.0142112,-0.99551407,22.951649,19.489666,17.898033,17.155827,16.820583
1237666299433582981,300.00865614,-0.98868132,22.207794,19.389145,18.154978,17.51428,17.194517
1237666299433582982,300.01447246,-0.99808597,24.63468,22.62993,20.121799,18.333639,17.541609
1237666299433582984,300.01518521,-0.99859689,22.10606,19.445641,18.214682,17.658588,17.960987
1237666299433582985,300.01315711,-0.99329955,25.006903,17.620342,17.548107,16.652367,17.830559
1237666299433582988,300.0128969,-0.99526896,24.634676,25.114384,22.946217,21.448122,22.826899
1237666299433582993,300.01527411,-0.99097159,26.282068,25.114338,22.943525,20.72876,20.032827
1237666299433582994,300.01810057,-0.99613156,24.39406,23.372684,21.433626,20.659138,20.637472
1237666299433582995,300.00852324,-0.98661463,24.501524,25.200584,22.656151,20.59749,19.325529
1237666299433582996,300.01013563,-0.98922924,25.353012,25.048374,23.007153,21.730059,21.720812
1237666299433582998,300.01720519,-0.99591521,25.314762,26.317774,24.687481,21.718264,21.088329
1237666299433583002,300.01720335,-0.99713674,24.22916,25.159401,25.778978,22.310129,22.319824
1237666299433583003,300.01435538,-0.98772214,25.769667,25.950193,25.32556,22.752533,22.028877
1237666299433583005,300.01209326,-0.98975401,25.140057,25.438814,25.570509,23.108557,22.512772
1237666299433583921,299.98651406,-1.01346239,22.153967,19.243633,18.205807,17.662374,17.457205
1237666299433583959,299.99199391,-1.01527361,21.049822,18.804577,17.95705,17.553049,17.413696
1237666299433583960,299.9936016,-1.01696458,20.986107,19.368462,18.732525,18.346455,18.250624
1237666299433583980,299.99811739,-0.98275882,19.931295,18.328056,17.630083,17.281679,17.159512
1237666299433583982,299.99623133,-0.98546948,21.305712,19.279238,18.432077,18.000719,17.844278
1237666299433583985,299.99470462,-0.98500536,23.427881,20.437632,19.361961,18.792995,18.561512
1237666299433583986,299.99478683,-0.98545187,21.108147,19.830143,19.373772,19.215143,19.376377
1237666299433583987,299.99736336,-0.98429486,24.254065,21.333954,21.442295,21.181889,20.505915
1237666299433583989,299.99719327,-0.98183457,25.153067,24.061127,22.269491,21.788511,23.108576
1237666299433584061,300.00196711,-0.98459521,19.033266,17.402046,16.667801,16.299006,16.153801
1237666299433584097,300.00576174,-0.98172123,20.421968,17.932634,16.709766,16.10338,15.807361
1237666299433584098,300.00058007,-0.9807714,21.671265,19.905586,19.315008,18.99568,18.92907
1237666299433584099,300.00479638,-0.98462663,23.449907,20.07918,19.335281,18.892294,18.796249
1237666299433584102,300.00183195,-0.98117254,24.466179,22.226713,22.365246,24.366316,21.933607
1237666299433584105,300.00629329,-0.98369024,24.293709,23.167381,22.778126,21.852341,21.641705
1237666299433585271,299.98476028,-0.99782937,21.064934,19.657803,18.903824,18.546242,18.521231
1237666299433585272,299.9843679,-0.99997461,23.55195,22.096329,20.248541,19.484646,19.137526
1237666299433585273,299.98488761,-0.99709448,24.71599,21.431189,20.183821,19.632572,19.573097
1237666299433585275,299.98535643,-0.9957692,22.627472,21.684641,20.548262,19.957712,20.657637
1237666299433585284,299.98815647,-1.00800866,23.709885,20.117155,18.576229,17.210339,16.511599
1237666299433585285,299.98896294,-1.01054402,21.013338,19.83461,19.239969,18.923424,18.85745
1237666299433585286,299.98876962,-1.00987596,24.731979,23.762566,22.863134,20.914604,20.184086
